id,address,lat,lng,house_no,city,state_code,zip_code
1501,"14140 W Highway 40, Ocala, FL 34481 USA",29.05818,-82.5312,14140,Ocala,FL,34481
315,"4900 Clyde Morris Blvd, Port Orange, FL 32129 USA",29.11798,-81.0239,4900,Port Orange,FL,32129
1898,"5364 Stadium Pkwy, Rockledge, FL 32955 USA",28.2687,-80.7374,5364,Rockledge,FL,32955
723,"4905 Commercial Way, Spring Hill, FL 34606 USA",28.50152,-82.591,4905,Spring Hill,FL,34606
1979,"1 Executive Park Dr NE, Atlanta, GA 30329 USA",33.83,-84.3332,1,Atlanta,GA,30329
90,"695 Furys Ferry Rd, Augusta, GA 30907 USA",33.55052,-82.0895,695,Augusta,GA,30907
787,"403 S Belair Rd, Augusta, GA 30907 USA",33.48585,-82.1342,403,Augusta,GA,30907
773,"956 W Parker St, Baxley, GA 31513 USA",31.7841,-82.3636,956,Baxley,GA,31513
1675,"5391 County Farm Rd, Blackshear, GA 31516 USA",31.3214,-82.2193,5391,Blackshear,GA,31516
1569,"342 Blue Ridge St, Blairsville, GA 30512 USA",34.8698,-83.9629,342,Blairsville,GA,30512
719,"12178 Columbia St, Blakely, GA 39823 USA",31.37492,-84.9389,12178,Blakely,GA,39823
750,"164 Altama Connector, Brunswick, GA 31525 USA",31.21331,-81.4878,164,Brunswick,GA,31525
946,"165 Juniper Cir, Brunswick, GA 31520 USA",31.21611,-81.4946,165,Brunswick,GA,31520
1123,"125 Altama Connector, Brunswick, GA 31525 USA",31.21576,-81.4835,125,Brunswick,GA,31525
1382,"114 Golden Isles Plz, Brunswick, GA 31520 USA",31.2131,-81.4916,114,Brunswick,GA,31520
1953,"2360 Perry Lane Rd, Brunswick, GA 31525 USA",31.24605,-81.5079,2360,Brunswick,GA,31525
240,"114 S Broad St, Buena Vista, GA 31803 USA",32.3164,-84.518,114,Buena Vista,GA,31803
235,"340 8th Ave NE, Cairo, GA 39828 USA",30.88597,-84.2048,340,Cairo,GA,39828
1328,"399 US Highway 84 E, Cairo, GA 39828 USA",30.88479,-84.2029,399,Cairo,GA,39828
274,"3237 Sixes Rd, Canton, GA 30114 USA",34.17159,-84.5477,3237,Canton,GA,30114
838,"3120 Highway 52A, Chatsworth, GA 30705 USA",34.76167,-84.8225,3120,Chatsworth,GA,30705
1440,"209 Lee Ave, Chickamauga, GA 30707 USA",34.87319,-85.2918,209,Chickamauga,GA,30707
1197,"3600 Naturally Fresh Blvd, College Park, GA 30349 USA",33.61177,-84.5045,3600,College Park,GA,30349
1590,"225 S Main St, Collins, GA 30421 USA",32.17953,-82.1096,225,Collins,GA,30421
411,"511 N Glenwood Ave, Dalton, GA 30721 USA",34.77881,-84.9653,511,Dalton,GA,30721
809,"2200 Cleveland Hwy, Dalton, GA 30721 USA",34.81311,-84.9469,2200,Dalton,GA,30721
1537,"3608 Chatsworth Rd SE, Dalton, GA 30721 USA",34.7808,-84.8889,3608,Dalton,GA,30721
617,"418 S Main St, Dawson, GA 39842 USA",31.76945,-84.4464,418,Dawson,GA,39842
238,"2151 Clary Connector, Eastanollee, GA 30538 USA",34.54045,-83.2698,2151,Eastanollee,GA,30538
922,"18 Madison Way, Ellerslie, GA 31807 USA",32.63775,-84.7897,18,Ellerslie,GA,31807
598,"520 N Belair Rd, Evans, GA 30809 USA",33.53649,-82.132,520,Evans,GA,30809
845,"4689 Hardy McManus Rd, Evans, GA 30809 USA",33.57881,-82.1492,4689,Evans,GA,30809
1258,"5131 Washington Rd, Evans, GA 30809 USA",33.57252,-82.1948,5131,Evans,GA,30809
1451,"545 Mullins Colony Dr, Evans, GA 30809 USA",33.5278,-82.1214,545,Evans,GA,30809
1516,"4389 Washington Rd, Evans, GA 30809 USA",33.54305,-82.137,4389,Evans,GA,30809
1674,"526 N Belair Rd, Evans, GA 30809 USA",33.53755,-82.131,526,Evans,GA,30809
1108,"831 Battlefield Pkwy, Fort Oglethorpe, GA 30742 USA",34.95423,-85.2508,831,Fort Oglethorpe,GA,30742
131,"100 N Camellia Blvd, Fort Valley, GA 31030 USA",32.55423,-83.8851,100,Fort Valley,GA,31030
91,"4030 Gateway Blvd, Grovetown, GA 30813 USA",33.47941,-82.1958,4030,Grovetown,GA,30813
622,"440 Lewiston Rd, Grovetown, GA 30813 USA",33.48741,-82.199,440,Grovetown,GA,30813
1911,"10 Cochran Hwy, Hawkinsville, GA 31036 USA",32.28272,-83.451,10,Hawkinsville,GA,31036
1436,"116 S Tallahassee St, Hazlehurst, GA 31539 USA",31.8606,-82.6051,116,Hazlehurst,GA,31539
888,"811 E 3rd St, Jackson, GA 30233 USA",33.29484,-83.9568,811,Jackson,GA,30233
1244,"561 E 3rd St, Jackson, GA 30233 USA",33.29478,-83.9606,561,Jackson,GA,30233
1655,"760 E King Ave, Kingsland, GA 31548 USA",30.80059,-81.6819,760,Kingsland,GA,31548
